Date,Time,Temperature,Humidity,Moisture,Luminance
2023-05-02,12:14:37,19.67,55.89,0.306,71.2421
2023-05-02,12:14:38,19.67,55.89,0.306,71.2421
2023-05-02,12:24:37,19.76,55.9,0.305,64.974
2023-05-02,12:24:38,19.76,55.9,0.305,64.974
2023-05-02,12:34:37,19.75,55.74,0.305,59.3762
2023-05-02,12:34:39,19.75,55.74,0.305,59.3762
2023-05-02,12:44:37,19.85,55.9,0.305,57.3652
2023-05-02,12:44:38,19.85,55.9,0.305,57.3652
2023-05-02,12:54:37,19.94,55.8,0.305,55.7306
2023-05-02,12:54:38,19.94,55.8,0.305,55.7306
2023-05-02,13:04:37,20.1,55.3,0.305,73.1589
2023-05-02,13:04:38,20.1,55.3,0.305,73.1589
2023-05-02,13:14:37,20.2,55.94,0.305,87.659
2023-05-02,13:14:38,20.2,55.94,0.305,87.659
2023-05-02,13:24:37,20.36,55.87,0.305,104.5
2023-05-02,13:24:38,20.36,55.87,0.305,104.5
2023-05-02,13:34:37,20.67,58.11,0.306,126.58
2023-05-02,13:34:38,20.67,58.11,0.306,126.58
2023-05-02,13:44:37,20.96,57.38,0.304,155.43
2023-05-02,13:44:38,20.96,57.38,0.304,155.43
2023-05-02,13:54:37,21.22,56.39,0.305,186.33
2023-05-02,13:54:38,21.22,56.39,0.305,186.33
2023-05-02,14:04:37,21.4,55.96,0.305,272.57
2023-05-02,14:04:38,21.4,55.96,0.305,272.57
2023-05-02,14:14:37,21.38,55.08,0.305,38.8903
2023-05-02,14:14:38,21.38,55.08,0.305,38.8903
2023-05-02,14:24:37,21.39,54.57,0.304,37.4085
2023-05-02,14:24:38,21.39,54.57,0.304,37.4085
2023-05-02,14:34:37,21.4,54.44,0.305,36.75
2023-05-02,14:34:38,21.4,54.44,0.305,36.75
2023-05-02,14:44:37,21.48,54.44,0.304,32.6693
2023-05-02,14:44:38,21.48,54.44,0.304,32.6693
2023-05-02,14:54:37,21.48,53.64,0.304,22.5792
2023-05-02,14:54:38,21.48,53.64,0.304,22.5792
2023-05-02,15:04:37,21.52,53.1,0.305,21.8618
2023-05-02,15:04:38,21.52,53.1,0.305,21.8618
2023-05-02,15:14:37,21.55,52.91,0.304,23.2201
2023-05-02,15:14:38,21.55,52.91,0.304,23.2201
2023-05-02,15:24:37,21.62,52.17,0.304,22.9143
2023-05-02,15:24:38,21.62,52.17,0.304,22.9143
2023-05-02,15:34:37,21.66,51.21,0.304,21.903
2023-05-02,15:34:38,21.66,51.21,0.304,21.903
2023-05-02,15:44:37,21.71,51.02,0.304,20.9328
2023-05-02,15:44:38,21.71,51.02,0.304,20.9328
2023-05-02,15:54:37,21.66,50.46,0.296,20.5859
2023-05-02,15:54:38,21.66,50.46,0.296,20.5859
2023-05-02,16:04:37,21.67,50.01,0.297,20.6682
2023-05-02,16:04:38,21.67,50.01,0.297,20.6682
2023-05-02,16:14:37,21.71,49.66,0.298,19.8568
2023-05-02,16:14:38,21.71,49.66,0.298,19.8568
2023-05-02,16:24:37,21.77,50.28,0.298,34.0393
2023-05-02,16:24:38,21.77,50.28,0.298,34.0393
2023-05-02,16:34:37,21.89,51.24,0.297,34.4921
2023-05-02,16:34:38,21.89,51.24,0.297,34.4921
2023-05-02,16:44:37,21.9,49.89,0.296,30.4642
2023-05-02,16:44:38,21.9,49.89,0.296,30.4642
2023-05-02,16:54:37,21.94,49.55,0.296,28.6121
2023-05-02,16:54:38,21.94,49.55,0.296,28.6121
2023-05-02,17:04:37,21.97,49.51,0.297,27.8124
2023-05-02,17:04:38,21.97,49.51,0.297,27.8124
2023-05-02,17:14:37,21.99,49.1,0.297,27.6007
2023-05-02,17:14:38,21.99,49.1,0.297,27.6007
2023-05-02,17:24:37,21.97,48.54,0.296,28.271
2023-05-02,17:24:38,21.97,48.54,0.296,28.271
2023-05-02,17:34:37,22.05,49.45,0.301,26.6776
2023-05-02,17:34:38,22.05,49.45,0.301,26.6776
2023-05-02,17:44:37,22.17,49.8,0.297,25.919
2023-05-02,17:44:38,22.17,49.8,0.297,25.919
2023-05-02,17:54:37,22.31,49.91,0.297,25.3075
2023-05-02,17:54:38,22.31,49.91,0.297,25.3075
2023-05-02,18:04:37,22.41,50.34,0.297,25.1075
2023-05-02,18:04:38,22.41,50.34,0.297,25.1075
2023-05-02,18:14:37,22.48,50.87,0.295,24.1038
2023-05-02,18:14:38,22.48,50.87,0.295,24.1038
2023-05-02,18:24:37,22.55,49.86,0.297,23.4176
2023-05-02,18:24:38,22.55,49.86,0.297,23.4176
2023-05-02,18:34:37,22.59,49.6,0.297,23.0378
2023-05-02,18:34:38,22.59,49.6,0.297,23.0378
2023-05-02,18:44:37,22.64,49.49,0.297,22.1136
2023-05-02,18:44:38,22.64,49.49,0.297,22.1136
2023-05-02,18:54:37,22.64,49.3,0.298,20.8422
2023-05-02,18:54:38,22.64,49.3,0.298,20.8422
2023-05-02,19:04:37,22.66,48.52,0.296,9.8051
2023-05-02,19:04:38,22.66,48.52,0.296,9.8051
2023-05-02,19:14:37,22.55,48.16,0.298,8.8961
2023-05-02,19:14:39,22.55,48.16,0.298,8.8961
2023-05-02,19:24:37,22.58,48.78,0.298,18.551
2023-05-02,19:24:38,22.58,48.78,0.298,18.551
2023-05-02,19:34:37,22.45,48.03,0.297,17.447
2023-05-02,19:34:38,22.45,48.03,0.297,17.447
2023-05-02,19:44:37,22.44,48.23,0.298,5.4794
2023-05-02,19:44:38,22.44,48.23,0.298,5.4794
2023-05-07,21:25:30,20.34,52.02,0.263,12.0471
2023-05-07,21:25:31,20.34,52.06,0.263,12.0471
2023-05-07,21:35:29,20.28,62.22,0.331,12.1948
2023-05-07,21:35:29,20.28,62.22,0.331,12.1948
2023-05-07,23:08:25,19.61,58,0.346,0.0046
2023-05-07,23:08:25,19.61,58,0.346,0.0046
2023-05-08,1:11:38,19.37,55.58,0.349,0.0022
2023-05-08,1:11:39,19.37,55.58,0.349,0.0022
2023-05-08,3:15:02,19.2,54.37,0.351,0.0046
2023-05-08,3:15:02,19.2,54.37,0.351,0.0046
2023-05-16,11:37:29,24.43,51.36,0.402,124.99
2023-05-16,11:46:51,24.48,51.61,0.403,109.24
2023-05-16,11:47:32,24.49,51.62,0.402,108.46
2023-05-16,11:56:46,24.48,51.18,0.403,95.597
2023-05-16,11:57:39,24.47,51.16,0.403,93.7272
2023-05-16,12:06:56,24.54,50.86,0.402,82.9903
2023-05-16,12:07:30,24.52,50.85,0.402,82.7786
2023-05-16,12:16:56,24.54,50.63,0.402,73.8292
2023-05-16,12:17:39,24.55,50.53,0.403,73.2413
2023-05-16,12:26:48,24.54,50.3,0.401,68.1374
2023-05-16,12:27:39,24.56,50.33,0.401,67.8434
2023-05-16,12:36:50,24.59,50.27,0.402,62.4573
2023-05-16,12:37:30,24.61,50.33,0.401,61.9752
2023-05-16,12:46:44,24.57,50.18,0.402,58.1767
2023-05-16,12:47:29,24.61,50.19,0.403,58.9764
2023-05-16,12:56:50,24.67,50.19,0.402,79.6034
2023-05-16,12:57:41,24.63,50.31,0.402,83.6253
2023-05-16,13:06:53,24.7,50.27,0.401,108.91
2023-05-16,13:07:33,24.71,50.3,0.402,108.2
2023-05-16,13:16:55,24.75,50.38,0.402,133.05
2023-05-16,13:17:42,24.76,50.26,0.402,134.36
2023-05-16,13:26:55,24.8,50.23,0.402,157.09
2023-05-16,13:27:37,24.81,50.16,0.402,158.45
2023-05-16,13:36:53,24.89,51.17,0.402,192.73
2023-05-16,13:37:33,24.92,51.14,0.402,195
2023-05-16,13:46:49,24.97,51.15,0.4,233.49
2023-05-16,13:47:41,24.96,51.53,0.401,237.05
2023-05-16,13:49:19,20,50,0.5,120
2023-05-16,13:56:45,25.06,50.89,0.401,263.41
2023-05-16,13:57:34,25.11,50.86,0.4,267.76
2023-05-16,14:06:52,25.14,50.65,0.4,381.06
2023-05-16,14:06:59,20,50,0.5,120
2023-05-16,14:07:36,25.16,50.69,0.4,386.61
2023-05-16,14:08:38,20,50,0.5,120
2023-05-16,14:16:51,25.17,51.09,0.401,40.8189
2023-05-16,14:17:37,25.15,51.17,0.401,41.3011
2023-05-16,14:26:44,25.23,51.05,0.401,39.8193
2023-05-16,14:27:37,25.23,51.21,0.399,39.4195
2023-05-16,14:36:53,25.22,51.52,0.401,39.0549
2023-05-16,14:37:29,25.2,51.65,0.4,38.6551
2023-05-16,14:46:46,25.26,51.52,0.402,37.9377
2023-05-16,14:47:39,25.27,51.47,0.401,26.4835
2023-05-16,14:56:43,25.22,51.05,0.4,25.5544
2023-05-16,14:57:36,25.21,50.94,0.401,25.4075
2023-05-16,15:06:50,25.18,50.73,0.401,24.9958
2023-05-16,15:07:37,25.18,50.69,0.401,24.502
2023-05-16,15:16:46,25.15,50.31,0.402,23.7316
2023-05-16,15:17:37,25.16,50.27,0.401,23.7316
2023-05-16,15:26:50,25.14,50.15,0.402,22.5733
2023-05-16,15:27:37,25.18,50.22,0.401,22.5733
2023-05-16,15:36:50,25.13,50.04,0.401,21.7207
2023-05-16,15:37:33,25.11,50.05,0.401,21.7207
2023-05-16,15:46:46,25.1,49.91,0.4,21.656
2023-05-16,15:47:31,25.14,49.85,0.401,21.656
2023-05-16,15:56:46,25.13,49.93,0.401,21.6442
2023-05-16,15:57:37,25.14,49.96,0.401,21.5913
2023-05-16,16:06:44,25.14,50.27,0.401,34.0217
2023-05-16,16:07:33,25.18,50.22,0.401,33.8746
2023-05-16,16:16:55,25.14,52.02,0.4,33.222
2023-05-16,16:17:32,25.19,51.99,0.4,33.222
2023-05-16,16:26:52,25.19,52.62,0.4,33.3572
2023-05-16,16:27:29,25.15,52.57,0.4,33.2102
2023-05-16,16:36:43,25.2,52.77,0.401,33.5453
2023-05-16,16:37:31,25.25,52.87,0.401,33.6395
2023-05-16,16:46:44,25.2,52.75,0.4,34.5214
2023-05-16,16:47:37,25.2,52.75,0.4,34.8154
2023-05-16,16:56:50,25.21,51.83,0.401,35.2565
2023-05-16,16:57:34,25.24,51.87,0.401,35.5505
2023-05-16,17:06:52,25.18,51.34,0.4,34.8978
2023-05-16,17:07:38,25.19,51.29,0.401,34.7508
2023-05-16,17:16:44,25.21,51.09,0.399,33.71
2023-05-16,17:17:31,25.17,50.99,0.4,33.9511
2023-05-16,17:26:52,25.17,50.94,0.4,33.8041
2023-05-16,17:27:32,25.15,50.95,0.4,33.8041
2023-05-16,17:36:46,25.15,50.78,0.399,32.8574
